id,income
0,0.023924
1,0.762788
2,0.172401
3,0.997531
4,0.062421
5,0.002276
6,0.245160
7,0.082891
8,0.006048
9,0.454666
10,0.832354
11,0.988023
12,0.570492
13,0.012121
14,0.760055
15,0.762545
16,0.340520
17,0.038513
18,0.026260
19,0.003413
20,0.000168
21,0.994447
22,0.610472
23,0.004458
24,0.987964
25,0.379875
26,0.017545
27,0.797499
28,0.001309
29,0.008130
30,0.012535
31,0.010723
32,0.002398
33,0.141406
34,0.045279
35,0.797499
36,0.123616
37,0.273357
38,0.013766
39,0.007859
40,0.809750
41,0.001003
42,0.241112
43,0.015928
44,0.019356
45,0.003770
46,0.989936
47,0.242816
48,0.013075
49,0.010218
50,0.045757
51,0.015796
52,0.006189
53,0.002975
54,0.067766
55,0.439465
56,0.018825
57,0.038114
58,0.742880
59,0.011872
60,0.243211
61,0.394790
62,0.000931
63,0.072938
64,0.154839
65,0.021697
66,0.013035
67,0.015735
68,0.995373
69,0.001762
70,0.490922
71,0.108246
72,0.061362
73,0.028257
74,0.002181
75,0.627637
76,0.012397
77,0.257171
78,0.201606
79,0.996720
80,0.052303
81,0.017630
82,0.053850
83,0.012613
84,0.008577
85,0.997026
86,0.136667
87,0.096490
88,0.003323
89,0.424491
90,0.034375
91,0.005649
92,0.043349
93,0.069925
94,0.005060
95,0.066601
96,0.061147
97,0.649156
98,0.013438
99,0.137326
100,0.002910
101,0.049151
102,0.440004
103,0.150579
104,0.427440
105,0.278742
106,0.028730
107,0.520419
108,0.048056
109,0.997033
110,0.733841
111,0.001759
112,0.011966
113,0.399311
114,0.242522
115,0.024606
116,0.000924
117,0.747713
118,0.004081
119,0.078129
120,0.010479
121,0.002411
122,0.960210
123,0.307642
124,0.007644
125,0.019909
126,0.040204
127,0.997777
128,0.500029
129,0.401997
130,0.018816
131,0.078115
132,0.004611
133,0.137016
134,0.602681
135,0.002337
136,0.624479
137,0.006350
138,0.431058
139,0.717041
140,0.001851
141,0.059156
142,0.011921
143,0.001190
144,0.307642
145,0.650166
146,0.820016
147,0.000241
148,0.104863
149,0.678108
150,0.225715
151,0.009759
152,0.564006
153,0.764279
154,0.261715
155,0.001186
156,0.554873
157,0.836087
158,0.022238
159,0.001080
160,0.053513
161,0.028559
162,0.036760
163,0.001241
164,0.002534
165,0.003194
166,0.022832
167,0.648721
168,0.767868
169,0.015890
170,0.817136
171,0.026042
172,0.001374
173,0.261082
174,0.017164
175,0.997277
176,0.010322
177,0.327104
178,0.348676
179,0.998021
180,0.033182
181,0.121637
182,0.033001
183,0.088059
